GeneId,Alias,WT,WTMinus,PYE,PPL,V-EN,C-EN-V,EP-C,EP
AT4G18593,unknown,13.76281,15.95636,19.76242,18.35164,22.20885,24.74045,22.56938,23.7045
AT4G18670,unknown,9.812218,10.90073,7.144463,10.73158,7.381408,6.890756,7.285796,8.217448
AT4G21705,unknown,5.261042,5.96059,5.79201,5.07008,4.524433,3.763464,4.72246,5.137279
AT4G23680,unknown,88.01474,130.5611,65.92187,132.2613,97.46167,45.81459,29.43656,26.05265
AT4G24026,unknown,3.230965,3.171717,3.908967,3.981575,5.457503,6.145998,6.413683,6.153632
AT4G24060,unknown,32.89628,29.7526,41.23182,32.38604,36.42048,48.96728,46.83576,43.30408
AT4G24265,unknown,2.51373,3.334531,1.779934,3.839629,1.983494,1.471242,1.322739,1.455548
AT4G25630,"ATFIB2, FIB2",43.56697,47.15308,66.99843,63.91455,68.2468,72.55149,72.69125,64.15503
AT4G26660,unknown,3.632224,3.089793,2.483821,3.146107,2.33819,1.753939,1.793601,2.351992
AT4G27670,HSP21,0,0.03526738,0.5423406,0.1124965,0.5256795,1.342393,0.1536963,0.06790082
AT4G27870,unknown,59.29458,42.45801,33.39785,39.9098,34.65401,26.11981,24.65424,31.3483
AT4G27950,CRF4,3.790226,5.110319,7.139693,6.299896,7.544189,9.565256,9.276079,7.470705
AT4G29210,"GGT3, GGT4",34.55766,31.09135,21.70656,30.80817,21.86891,18.25305,18.42137,19.69009
AT4G29540,"AtLpxA, LpxA",2.581892,2.4886,3.617492,3.496557,3.684615,4.247784,3.714131,3.569317
AT4G29690,unknown,11.08586,6.867003,3.816785,6.16422,6.293188,3.966365,2.942242,6.504017
AT4G30800,unknown,6.329307,8.648146,11.9262,10.70966,12.54012,13.74004,13.90166,10.85999
AT4G32175,unknown,4.007215,3.981715,5.759351,3.821137,5.142052,6.452937,6.080347,5.760742
AT4G32830,"AtAUR1, AUR1",8.997113,7.436982,5.203609,6.229598,5.569806,4.811603,5.310223,6.239971
AT4G33260,"AtCDC20.2, CDC20.2",6.788248,5.919551,3.919481,6.150428,4.588614,3.782096,4.940489,4.447487
AT4G34290,unknown,4.023087,3.356552,4.788071,4.331905,4.461294,5.689917,4.672211,4.267388
AT4G35295,unknown,2.179349,3.356147,5.736185,3.411709,5.639711,6.735366,6.756824,8.213898
AT4G35720,unknown,0.3596249,0.4099018,0.78391,0.4132634,0.6747482,1.035646,0.4840075,0.7046204
AT4G36270,unknown,1.191375,1.074586,0.7363494,0.8896799,0.5922577,0.5231744,0.5527588,0.6000319
AT4G36420,unknown,22.35008,27.8635,37.20951,35.16692,40.9208,42.95409,41.31561,40.32627
AT4G36620,"GATA19, HANL2",0.8397776,1.493663,2.778912,1.850536,2.594181,3.361587,3.806513,3.419053
AT4G36870,"BLH2, SAW1",1.658761,1.268833,1.05747,1.103251,0.9753092,0.7786827,0.7445546,0.8737088
AT4G37170,unknown,1.048265,1.142248,1.716696,1.43791,1.337344,1.753709,1.539824,1.690719
AT4G37990,"ATCAD8, CAD-B2, ELI3, ELI3-2",0,0.01280649,0.3628955,0,0.2149193,0.4952192,0.359367,0.1045862
AT4G39030,"EDS5, SCORD3, SID1",10.31219,9.978845,8.056585,7.672913,11.39792,6.604343,6.507573,6.984672
AT5G02050,unknown,24.67463,34.36549,50.50329,44.70317,50.04719,57.54356,53.4487,53.80152
AT5G02950,unknown,0.5018346,0.223233,0.480662,0.3154111,0.399821,0.6126923,0.5379076,0.2883861
